##ProgramName=RareMetalWorker
##Version=4.13.6
#CHROM	CURRENT_POS	MARKERS_IN_WINDOW	COV_MATRICES
9	44001280	44001280,44001379,44047825,44047839,44055726,44056400,44056412,44057574,44079591,44081288,44090195,44097343,44098979,44116956,44117052,44117961,44117985,44118188,44118191,44118353,44153100,44153248,44156378,44156472,44159722,44187577,44223113,44223180,44224043,44237864,44302624,44303972,44351815,44352577,44352639,44352665,44352666,44352680,44377205,44377614,44377669,44418077,44418680,44418693,44418824,44470147,44470420,44470679,44470955,44471209,44500701,44501243,44513250,44514741,44514901,44515514,44535999,44536189,44536509,44570393,44570460,44571260,44590874,44610665,44610798,44610843,44611317,44613661,44614208,44635822,44635948,44636131,44636730,44636802,44652954,44660559,44660897,44661139,44661427,44669960,44679167,44680403,44680843,44681185,44681720,44778405,44778489,44778744,44791537,44792701,44793278,44831989,44832875,44832992,44833240,44833851,44890801,44890875,44892168,44932521,44932972,44933419,44933705,44933706,44933895,44933947,44934187,44970935,44979443,44981800,44981832,44981862,44981883,44983567,	0.00829829,0.00764619,-4.36692e-06,-2.74444e-05,-6.31502e-05,1.15174e-06,-0.00114091,-0.00082782,-2.5611e-05,0.00160647,-0.00252939,-1.56436e-05,-0.00023948,-0.00185225,-0.000958412,-2.58333e-05,-0.000109615,0.00574689,-0.001832,0.00574689,-0.00206376,1.13447e-05,-2.57673e-05,-0.00215314,-2.5611e-05,-0.00113654,0.00694232,-3.98938e-05,-6.97218e-06,2.58337e-06,-0.00183075,2.7102e-07,-3.6118e-05,-9.6353e-06,-0.000315936,-0.00501037,-0.00282892,-1.60961e-05,-0.000323862,-0.000208891,0.00296667,0.00282546,0.00296636,0.00282546,0.00296667,-0.00022401,0.00023544,-8.5788e-05,-0.000215211,0.00125068,-0.000978066,-1.97921e-05,-0.000132735,-1.10539e-05,-4.65015e-05,-0.00107109,-0.00438065,-0.000146351,-1.30492e-06,-0.0045854,-1.10539e-05,-8.43063e-05,-0.000150857,-0.0048877,-0.0048877,-0.000123139,-1.10539e-05,-0.00327852,-0.00327852,-0.000579697,-6.44741e-06,-1.17712e-05,-1.9736e-05,-0.000987184,0.00139984,-0.000505397,-5.97152e-05,-0.000238196,-7.35077e-05,0.00133518,-2.36201e-05,0.000135917,-1.27165e-05,-6.75562e-05,-1.29922e-05,0.000682728,0.00159444,-1.954e-05,-4.99725e-05,0.00132589,-4.4674e-05,-0.000632114,0.00208031,0.00208031,-0.00019724,0.000672699,-0.00401123,-9.29887e-05,-3.89141e-05,-0.000139856,-0.00268457,-1.10539e-05,-4.91754e-05,-0.00151299,-2.10011e-05,-0.00279646,-5.01228e-05,0.00200582,0.00276969,-3.89141e-05,-3.89141e-05,-6.02697e-05,0.00276969,0.00273078,
9	44001379	44001379,44047825,44047839,44055726,44056400,44056412,44057574,44079591,44081288,44090195,44097343,44098979,44116956,44117052,44117961,44117985,44118188,44118191,44118353,44153100,44153248,44156378,44156472,44159722,44187577,44223113,44223180,44224043,44237864,44302624,44303972,44351815,44352577,44352639,44352665,44352666,44352680,44377205,44377614,44377669,44418077,44418680,44418693,44418824,44470147,44470420,44470679,44470955,44471209,44500701,44501243,44513250,44514741,44514901,44515514,44535999,44536189,44536509,44570393,44570460,44571260,44590874,44610665,44610798,44610843,44611317,44613661,44614208,44635822,44635948,44636131,44636730,44636802,44652954,44660559,44660897,44661139,44661427,44669960,44679167,44680403,44680843,44681185,44681720,44778405,44778489,44778744,44791537,44792701,44793278,44831989,44832875,44832992,44833240,44833851,44890801,44890875,44892168,44932521,44932972,44933419,44933705,44933706,44933895,44933947,44934187,44970935,44979443,44981800,44981832,44981862,44981883,44983567,45001346,	0.14882,-0.00080307,-0.000218974,0.0217112,-0.000280532,-0.00996192,-0.00245916,-0.000199583,0.028286,-0.031459,-0.000259647,0.0014279,-0.0343132,-0.0126201,-0.000224213,0.00176311,0.0701643,-0.0337707,0.0701643,-0.0129552,-0.000500296,0.000812544,0.00508486,-0.000199583,-0.00811766,-0.00373236,-0.0010258,-0.000224514,-0.00020854,-0.000473361,-0.000253788,-0.000268602,-0.000210717,-0.00152693,0.00829924,-0.00602513,-0.000283998,-0.00162368,-0.00279628,0.0039416,0.000645516,0.00393663,0.000645516,0.0039416,-0.00336231,0.00362666,0.0034094,-0.00441856,-0.0147015,-0.00344524,-0.000275328,-0.00202258,-0.000256139,0.00102868,-0.00471829,0.0207319,-0.00204152,-0.000131528,-0.00306642,-0.000256139,0.000876402,-0.000594122,0.0063939,0.0063939,0.00738448,-0.000256139,0.0140151,0.0140151,-0.00488309,-0.000289446,-0.000182665,-0.000297507,-0.0020833,0.0187363,-0.000911487,0.000916433,-0.00597589,-0.00192213,-0.0138151,-0.000316191,-0.00110785,0.00118784,-0.00126593,0.00130499,-0.0289992,0.000943769,-0.000328384,0.000637747,-0.0140479,-0.000170679,-0.0146951,-0.0293045,-0.0293045,-0.00136863,-0.0286418,0.030468,0.000369583,-0.000700023,-0.000543299,-0.0332834,-0.000256139,0.00396313,0.0148299,-0.000238584,-0.0327702,-0.00215092,0.012213,0.00958878,-0.000700023,-0.000700023,-5.83203e-07,0.00958878,0.00888879,0.0117845,
9	44047825	44047825,44047839,44055726,44056400,44056412,44057574,44079591,44081288,44090195,44097343,44098979,44116956,44117052,44117961,44117985,44118188,44118191,44118353,44153100,44153248,44156378,44156472,44159722,44187577,44223113,44223180,44224043,44237864,44302624,44303972,44351815,44352577,44352639,44352665,44352666,44352680,44377205,44377614,44377669,44418077,44418680,44418693,44418824,44470147,44470420,44470679,44470955,44471209,44500701,44501243,44513250,44514741,44514901,44515514,44535999,44536189,44536509,44570393,44570460,44571260,44590874,44610665,44610798,44610843,44611317,44613661,44614208,44635822,44635948,44636131,44636730,44636802,44652954,44660559,44660897,44661139,44661427,44669960,44679167,44680403,44680843,44681185,44681720,44778405,44778489,44778744,44791537,44792701,44793278,44831989,44832875,44832992,44833240,44833851,44890801,44890875,44892168,44932521,44932972,44933419,44933705,44933706,44933895,44933947,44934187,44970935,44979443,44981800,44981832,44981862,44981883,44983567,45001346,45016116,45017249,45021210,45021252,45024535,45028112,45028169,45028231,45029208,	0.00337439,9.87509e-07,0.000215043,-6.47878e-06,-0.000296561,-0.00021466,-1.51452e-06,-3.4456e-05,0.00188616,1.87698e-06,-7.30544e-05,-0.00018304,-0.000637126,-1.87078e-08,-1.10157e-05,0.00202981,-0.00016936,0.00202981,0.000662288,-2.40399e-05,-1.91687e-05,0.00236053,-1.51452e-06,0.0011812,-0.000243984,-2.58275e-05,-2.13598e-06,-6.85341e-06,0.000996147,-7.96414e-06,2.45599e-06,-6.28975e-06,0.000473481,0.000887809,0.00115185,-2.36516e-06,-7.00916e-06,-5.03502e-05,-0.000902733,-0.000925617,-0.000902857,-0.000925617,-0.000902733,-5.89679e-05,6.67074e-05,-1.75522e-05,0.00472966,0.00111497,-0.000173262,-5.9975e-06,-6.54859e-05,-7.49452e-06,-1.03579e-05,-0.00067172,0.00121618,-0.000116835,-5.15073e-06,-0.00226557,-7.49452e-06,-1.16165e-05,-3.12713e-06,0.000540903,0.000540903,-0.00118307,-7.49452e-06,0.000823575,0.000823575,-0.000104813,-6.81943e-06,-4.7579e-06,-4.09936e-06,-0.000167593,0.00130661,-0.00018659,-9.53581e-06,-0.000292657,-5.70624e-05,-0.00248662,-8.35244e-07,2.64728e-05,-1.03509e-05,-1.66262e-05,-4.44131e-06,-0.00332498,-4.31043e-05,-6.49211e-06,-2.21859e-05,-0.00248571,-2.95267e-07,-0.000831773,-0.00269863,-0.00269863,8.49471e-06,-0.00332337,0.00162559,-6.64421e-05,-2.55371e-05,-3.4976e-05,-0.000468076,-7.49452e-06,-9.50911e-06,-0.000709085,-1.65032e-06,0.00108068,-7.158e-05,-0.00155521,-0.000314737,-2.55371e-05,-2.55371e-05,-3.63165e-05,-0.000314737,-0.000340274,-0.000245052,-0.00053591,0.00210355,-0.000212679,-0.000424203,-2.95267e-07,-0.000575812,0.00198946,-7.88446e-06,-0.000207589,
9	44047839	44047839,44055726,44056400,44056412,44057574,44079591,44081288,44090195,44097343,44098979,44116956,44117052,44117961,44117985,44118188,44118191,44118353,44153100,44153248,44156378,44156472,44159722,44187577,44223113,44223180,44224043,44237864,44302624,44303972,44351815,44352577,44352639,44352665,44352666,44352680,44377205,44377614,44377669,44418077,44418680,44418693,44418824,44470147,44470420,44470679,44470955,44471209,44500701,44501243,44513250,44514741,44514901,44515514,44535999,44536189,44536509,44570393,44570460,44571260,44590874,44610665,44610798,44610843,44611317,44613661,44614208,44635822,44635948,44636131,44636730,44636802,44652954,44660559,44660897,44661139,44661427,44669960,44679167,44680403,44680843,44681185,44681720,44778405,44778489,44778744,44791537,44792701,44793278,44831989,44832875,44832992,44833240,44833851,44890801,44890875,44892168,44932521,44932972,44933419,44933705,44933706,44933895,44933947,44934187,44970935,44979443,44981800,44981832,44981862,44981883,44983567,45001346,45016116,45017249,45021210,45021252,45024535,45028112,45028169,45028231,45029208,	0.00170086,-0.000662623,-3.47343e-06,-0.000299747,-0.000166202,-3.22059e-06,-0.000734511,0.000141538,1.2363e-06,-6.23467e-05,0.000642987,-0.00015168,-1.30275e-06,-1.53425e-05,-0.000462021,0.000647865,-0.000462021,-0.000615822,1.09651e-06,-3.12128e-06,-0.0003264,-3.22059e-06,-0.000225419,-0.000218141,-1.00994e-05,4.86051e-07,-3.70328e-06,-0.00126911,-1.85276e-06,-7.5746e-06,3.1762e-08,-0.000779446,-0.000763125,-0.00114642,-3.33464e-07,-7.33421e-05,-7.65319e-05,0.00109674,0.00107165,0.00109671,0.00107165,0.00109674,-7.99854e-05,8.24528e-05,-1.75758e-05,-4.29894e-05,0.000576027,-0.000181741,-6.79626e-06,-2.02402e-05,-2.4686e-06,-3.0123e-06,0.00101039,-0.000341885,-5.39364e-05,-3.68744e-06,-0.000163281,-2.4686e-06,-1.06528e-05,-2.14538e-05,0.000778058,0.000778058,-0.000378903,-2.4686e-06,-0.000599,-0.000599,0.00157139,-4.80563e-06,-3.102e-06,-5.90959e-06,-0.00018308,-0.000930279,-0.000181739,-5.13315e-06,-5.36689e-05,-2.38526e-05,0.00114694,-2.3087e-06,3.32251e-05,1.61063e-06,-7.93588e-06,1.59927e-07,0.000736998,-4.51366e-06,-6.44373e-06,-1.85718e-05,0.00114441,-7.12143e-06,-0.000404946,-0.00059523,-0.00059523,-3.8391e-05,0.00073871,-0.000250169,-2.07196e-05,-6.04464e-06,-3.10918e-05,-0.00110196,-2.4686e-06,-1.04421e-05,-0.000384975,-3.83843e-06,-0.00114151,-1.73371e-05,0.000945708,-0.000191492,-6.04464e-06,-6.04464e-06,-1.41373e-05,-0.000191492,-0.000197536,-0.000112505,0.000633316,-0.000985143,-0.000127552,-0.000127332,-7.12143e-06,-0.000154387,0.00128689,-4.50734e-06,-0.000111072,
9	44055726	44055726,44056400,44056412,44057574,44079591,44081288,44090195,44097343,44098979,44116956,44117052,44117961,44117985,44118188,44118191,44118353,44153100,44153248,44156378,44156472,44159722,44187577,44223113,44223180,44224043,44237864,44302624,44303972,44351815,44352577,44352639,44352665,44352666,44352680,44377205,44377614,44377669,44418077,44418680,44418693,44418824,44470147,44470420,44470679,44470955,44471209,44500701,44501243,44513250,44514741,44514901,44515514,44535999,44536189,44536509,44570393,44570460,44571260,44590874,44610665,44610798,44610843,44611317,44613661,44614208,44635822,44635948,44636131,44636730,44636802,44652954,44660559,44660897,44661139,44661427,44669960,44679167,44680403,44680843,44681185,44681720,44778405,44778489,44778744,44791537,44792701,44793278,44831989,44832875,44832992,44833240,44833851,44890801,44890875,44892168,44932521,44932972,44933419,44933705,44933706,44933895,44933947,44934187,44970935,44979443,44981800,44981832,44981862,44981883,44983567,45001346,45016116,45017249,45021210,45021252,45024535,45028112,45028169,45028231,45029208,	0.377315,-0.000667853,0.044529,0.0259954,-0.00067307,-0.111033,-0.119659,-0.000462451,-0.0246603,0.060658,0.0387406,0.000942836,0.00124625,0.00367572,0.059679,0.00367572,-0.0237974,-0.00165579,0.00161423,-0.0161174,-0.00067307,0.00909823,0.014712,0.00378336,0.000836103,0.000628588,0.0266713,-0.000775307,-0.000690983,0.000947671,0.0292108,-0.00116937,-0.029982,0.000874511,0.00168006,0.00634868,-0.0154313,-0.00971605,-0.0154269,-0.00971605,-0.0154313,0.00827699,-0.00917939,0.000804555,-0.0114393,0.0225099,-0.0479145,-0.000665984,-0.00156519,0.000865462,0.000325209,-0.0077468,-0.00612615,0.00388077,0.000685925,-0.00880594,0.000865462,0.00187113,-0.00452539,-0.00489886,-0.00489886,-0.0332468,0.000865462,0.0383406,0.0383406,0.00695743,-0.000628715,-0.00078464,0.000909325,-0.0530885,0.00534248,0.0197444,0.00190457,0.00144867,-0.00481886,0.0435639,0.00105845,0.00113737,0.000830435,0.00280342,0.000876065,0.0157684,-0.0016712,0.000863125,0.000393286,0.0445044,0.000786308,-0.0296014,-0.00529999,-0.00529999,0.00174724,0.0123068,0.00525799,-0.00424702,0.000196123,0.000385765,0.0231753,0.000865462,-0.000977458,-0.0316914,-0.00185213,0.0191287,-0.00428396,-0.016615,0.00898989,0.000196123,0.000196123,-0.00432206,0.00898989,0.00918599,0.00965247,0.0286835,0.023753,-0.00142149,0.00298324,0.000786308,0.0278658,0.0216754,-0.000658261,-0.00688636,
9	44056400	44056400,44056412,44057574,44079591,44081288,44090195,44097343,44098979,44116956,44117052,44117961,44117985,44118188,44118191,44118353,44153100,44153248,44156378,44156472,44159722,44187577,44223113,44223180,44224043,44237864,44302624,44303972,44351815,44352577,44352639,44352665,44352666,44352680,44377205,44377614,44377669,44418077,44418680,44418693,44418824,44470147,44470420,44470679,44470955,44471209,44500701,44501243,44513250,44514741,44514901,44515514,44535999,44536189,44536509,44570393,44570460,44571260,44590874,44610665,44610798,44610843,44611317,44613661,44614208,44635822,44635948,44636131,44636730,44636802,44652954,44660559,44660897,44661139,44661427,44669960,44679167,44680403,44680843,44681185,44681720,44778405,44778489,44778744,44791537,44792701,44793278,44831989,44832875,44832992,44833240,44833851,44890801,44890875,44892168,44932521,44932972,44933419,44933705,44933706,44933895,44933947,44934187,44970935,44979443,44981800,44981832,44981862,44981883,44983567,45001346,45016116,45017249,45021210,45021252,45024535,45028112,45028169,45028231,45029208,	0.00169533,-0.000141867,-0.000129601,-1.19472e-06,-0.000725226,4.69792e-05,-1.98098e-06,-4.72388e-05,0.000606139,-0.000272548,-5.08657e-07,-1.73408e-05,-0.000459223,0.000611182,-0.000459223,0.00100059,-5.27008e-06,-1.33419e-05,-0.000292451,-1.19472e-06,0.00134232,-0.000188782,-5.24427e-06,-4.18199e-06,-1.07013e-05,-0.000161483,-6.48153e-06,-2.6188e-06,-9.63908e-07,-0.000634336,0.000639147,1.49382e-05,-2.85713e-06,-1.56579e-05,-7.81118e-05,0.000141044,4.70025e-05,0.000141004,4.70025e-05,0.000141044,-8.84846e-05,9.28469e-05,-7.81869e-06,-7.55016e-05,-0.000972036,-0.000159807,-2.61267e-07,-7.51275e-06,-4.32465e-06,4.69174e-06,-0.000473525,0.000753829,0.00151169,-5.98682e-06,0.00119644,-4.32465e-06,-2.21417e-06,-1.82416e-05,0.00029742,0.00029742,0.00101574,-4.32465e-06,0.000502894,0.000502894,-2.34574e-05,-1.08461e-06,-1.216e-06,-3.36273e-06,-0.000176905,0.00152264,-0.000117854,-7.21488e-06,-8.67304e-05,-2.00553e-05,-0.00123233,-2.74018e-06,2.19957e-05,-5.72467e-06,-3.82098e-05,3.22875e-07,-0.000318426,-1.18373e-05,-6.30447e-06,-2.42165e-05,-0.00122763,-2.8694e-07,0.000913524,-0.000126607,-0.000126607,4.96109e-06,-0.000309272,-0.000269281,-2.33752e-05,-4.42834e-06,-1.97447e-05,-0.000910061,-4.32465e-06,-9.74653e-06,0.00102465,-3.28929e-06,-0.000980342,-3.30395e-05,0.000963194,-0.00125587,-4.42834e-06,-4.42834e-06,-2.01985e-05,-0.00125587,-0.0012603,-0.00122992,8.26245e-05,-0.000808441,0.00149756,-0.000223175,-2.8694e-07,0.00110175,-0.00176914,2.0972e-06,0.00150002,
9	44056412	44056412,44057574,44079591,44081288,44090195,44097343,44098979,44116956,44117052,44117961,44117985,44118188,44118191,44118353,44153100,44153248,44156378,44156472,44159722,44187577,44223113,44223180,44224043,44237864,44302624,44303972,44351815,44352577,44352639,44352665,44352666,44352680,44377205,44377614,44377669,44418077,44418680,44418693,44418824,44470147,44470420,44470679,44470955,44471209,44500701,44501243,44513250,44514741,44514901,44515514,44535999,44536189,44536509,44570393,44570460,44571260,44590874,44610665,44610798,44610843,44611317,44613661,44614208,44635822,44635948,44636131,44636730,44636802,44652954,44660559,44660897,44661139,44661427,44669960,44679167,44680403,44680843,44681185,44681720,44778405,44778489,44778744,44791537,44792701,44793278,44831989,44832875,44832992,44833240,44833851,44890801,44890875,44892168,44932521,44932972,44933419,44933705,44933706,44933895,44933947,44934187,44970935,44979443,44981800,44981832,44981862,44981883,44983567,45001346,45016116,45017249,45021210,45021252,45024535,45028112,45028169,45028231,45029208,	0.119454,-0.00742971,0.0013045,0.0245323,-0.0667086,0.00136239,-0.00314179,-0.0265183,-0.00539198,-0.000250878,-0.000899206,-0.0263195,-0.0260924,-0.0263195,-0.0175754,-0.000352121,0.00120036,-0.0135089,0.0013045,-0.00583973,-0.00903496,-0.0010593,-0.000191434,-0.000168286,-0.0322917,-0.000190673,-0.000279934,-0.000220142,-0.00136013,0.018549,-0.0226081,0.00136313,-0.00232336,-0.00119855,0.026884,0.0257578,0.0268949,0.0257578,0.026884,-0.00160853,0.00184738,0.000383869,0.00276026,0.00221969,0.00412173,-0.000289789,-0.00064182,-0.000230268,0.00105914,0.0316505,-0.0198067,-0.00202223,-0.000345165,-0.0137091,-0.000230268,-0.000424328,-0.00167903,0.00697269,0.00697269,-0.00958554,-0.000230268,0.000969728,0.000969728,0.00537443,0.00124419,-0.000279997,-0.000246325,0.00127233,-0.0236275,0.0254148,0.00110109,-0.00439855,-0.00150296,0.0166617,0.00129389,2.70236e-05,-0.000140281,0.000612039,-0.000208999,0.0135136,-0.000828971,0.00129225,-0.000975064,0.0179231,0.00127745,-0.00417915,0.00658969,0.00658969,-0.00166427,0.0106725,0.00151581,0.00269039,-0.000406447,-0.0016937,0.0230766,-0.000230268,-0.000504686,-0.00654841,-0.000180414,0.0244325,-0.00159026,-0.00915458,-0.00489058,-0.000406447,-0.000406447,-0.00157805,-0.00489058,-0.00529704,-0.00165973,-0.0134566,0.0013891,-0.000428274,-0.00626656,0.00127745,-0.000530628,0.0155551,-0.000216086,-0.00102481,
9	44057574	44057574,44079591,44081288,44090195,44097343,44098979,44116956,44117052,44117961,44117985,44118188,44118191,44118353,44153100,44153248,44156378,44156472,44159722,44187577,44223113,44223180,44224043,44237864,44302624,44303972,44351815,44352577,44352639,44352665,44352666,44352680,44377205,44377614,44377669,44418077,44418680,44418693,44418824,44470147,44470420,44470679,44470955,44471209,44500701,44501243,44513250,44514741,44514901,44515514,44535999,44536189,44536509,44570393,44570460,44571260,44590874,44610665,44610798,44610843,44611317,44613661,44614208,44635822,44635948,44636131,44636730,44636802,44652954,44660559,44660897,44661139,44661427,44669960,44679167,44680403,44680843,44681185,44681720,44778405,44778489,44778744,44791537,44792701,44793278,44831989,44832875,44832992,44833240,44833851,44890801,44890875,44892168,44932521,44932972,44933419,44933705,44933706,44933895,44933947,44934187,44970935,44979443,44981800,44981832,44981862,44981883,44983567,45001346,45016116,45017249,45021210,45021252,45024535,45028112,45028169,45028231,45029208,	0.0814099,-0.000156589,0.0112164,0.0386233,-0.000187581,-0.00300345,-0.0135905,-0.00902779,0.00149501,-0.000526848,-0.0154757,-0.0133456,-0.0154757,-0.0130165,-0.000248709,-0.000246555,-0.00824202,-0.000156589,-0.00345512,-0.00710103,-0.000812729,-0.000158374,-0.000156396,0.00265694,-0.000112499,-0.000164153,-0.000206635,-0.00442583,-0.00810687,-0.00125951,-0.000151627,-0.000385112,-0.00151986,-0.00548511,0.00240951,-0.00548876,0.00240951,-0.00548511,-0.000134547,-0.00144208,-0.000609382,-0.00198012,0.0113953,-0.00430845,-0.000141391,0.00037743,0.00158468,-0.00029704,-0.00323015,-0.00659812,-0.00136019,-0.000140039,0.00234221,0.00158468,-0.00032665,-0.00111428,-0.00455626,-0.00455626,-0.00870999,0.00158468,-0.00217167,-0.00217167,-0.00112813,-0.00011731,-0.000172794,0.00156817,-0.00575415,-0.0182397,0.00169636,-0.000311423,-0.00581971,0.00422026,0.00613599,-0.000172769,-0.000708955,-0.000125285,-0.000919534,0.00151453,0.00730942,-0.000574546,-0.000102401,0.00109521,0.00596188,-0.000183346,-0.000237141,0.0046096,0.0046096,0.00073887,0.00739302,-0.0135426,0.000436878,-0.000279003,0.00225888,-0.00827564,0.00158468,-0.000281905,-0.00415432,-0.00017108,-0.00699616,0.000724899,-0.00862564,-0.0034007,-0.000279003,-0.000279003,-0.000916081,-0.0034007,-0.0036797,-0.00519409,0.0162055,-0.0148353,-0.00490717,-0.00177792,-0.000183346,0.00319248,-0.00290926,-0.000145511,-0.00446081,
9	44079591	44079591,44081288,44090195,44097343,44098979,44116956,44117052,44117961,44117985,44118188,44118191,44118353,44153100,44153248,44156378,44156472,44159722,44187577,44223113,44223180,44224043,44237864,44302624,44303972,44351815,44352577,44352639,44352665,44352666,44352680,44377205,44377614,44377669,44418077,44418680,44418693,44418824,44470147,44470420,44470679,44470955,44471209,44500701,44501243,44513250,44514741,44514901,44515514,44535999,44536189,44536509,44570393,44570460,44571260,44590874,44610665,44610798,44610843,44611317,44613661,44614208,44635822,44635948,44636131,44636730,44636802,44652954,44660559,44660897,44661139,44661427,44669960,44679167,44680403,44680843,44681185,44681720,44778405,44778489,44778744,44791537,44792701,44793278,44831989,44832875,44832992,44833240,44833851,44890801,44890875,44892168,44932521,44932972,44933419,44933705,44933706,44933895,44933947,44934187,44970935,44979443,44981800,44981832,44981862,44981883,44983567,45001346,45016116,45017249,45021210,45021252,45024535,45028112,45028169,45028231,45029208,	0.00169955,0.000722232,-2.90777e-05,-2.22357e-06,-5.87172e-05,-0.000767729,-0.000148927,-6.41693e-06,-9.00925e-06,-0.000489622,-0.000763314,-0.000489622,-0.00051595,-1.32362e-06,6.61284e-07,-0.000301293,0.00169955,0.0013179,-0.000223253,-1.239e-05,-1.93987e-06,-2.48485e-08,0.000208003,3.66146e-07,-4.95872e-06,-9.32686e-06,-0.000613064,-0.00073864,0.000268315,-3.14727e-06,-4.65045e-05,-3.70268e-05,-0.000240548,-0.000254285,-0.000240647,-0.000254285,-0.000240548,-3.88375e-05,4.28096e-05,-1.34777e-05,-6.27133e-05,-0.0011329,-0.000203033,-1.31245e-06,-5.17858e-05,-3.60856e-06,-1.0702e-05,-0.000575171,-0.000139567,-2.61746e-05,2.51843e-07,3.54047e-05,-3.60856e-06,-1.11979e-05,-1.91975e-05,-0.00214244,-0.00214244,-0.000204823,-3.60856e-06,-0.00182485,-0.00182485,-0.000116567,-3.81803e-06,-2.44515e-07,7.08346e-07,-0.000193715,-0.000775439,-0.000154753,-9.24456e-06,-8.53586e-05,-4.56247e-06,0.000933461,-5.48502e-06,2.87723e-05,1.93811e-06,-1.20531e-05,3.5211e-07,0.00048516,-7.70767e-06,-9.51686e-08,-4.15104e-06,0.000936189,-1.05275e-05,-0.000447422,0.000821216,0.000821216,-2.96664e-05,0.000485144,-0.000345971,-1.24442e-05,-6.74224e-06,-1.53722e-05,0.000296337,-3.60856e-06,-6.7135e-06,-0.000238014,-1.69219e-06,0.000284737,-6.4559e-06,-0.000618951,-0.000205878,-6.74224e-06,-6.74224e-06,-1.86054e-05,-0.000205878,-0.00021262,-0.000148856,-0.000952003,0.000578662,-0.000113187,-9.37579e-05,-1.05275e-05,-0.000114559,-0.000369395,-5.81332e-06,-0.000112196,
9	44081288	44081288,44090195,44097343,44098979,44116956,44117052,44117961,44117985,44118188,44118191,44118353,44153100,44153248,44156378,44156472,44159722,44187577,44223113,44223180,44224043,44237864,44302624,44303972,44351815,44352577,44352639,44352665,44352666,44352680,44377205,44377614,44377669,44418077,44418680,44418693,44418824,44470147,44470420,44470679,44470955,44471209,44500701,44501243,44513250,44514741,44514901,44515514,44535999,44536189,44536509,44570393,44570460,44571260,44590874,44610665,44610798,44610843,44611317,44613661,44614208,44635822,44635948,44636131,44636730,44636802,44652954,44660559,44660897,44661139,44661427,44669960,44679167,44680403,44680843,44681185,44681720,44778405,44778489,44778744,44791537,44792701,44793278,44831989,44832875,44832992,44833240,44833851,44890801,44890875,44892168,44932521,44932972,44933419,44933705,44933706,44933895,44933947,44934187,44970935,44979443,44981800,44981832,44981862,44981883,44983567,45001346,45016116,45017249,45021210,45021252,45024535,45028112,45028169,45028231,45029208,	0.29117,0.173564,0.00052081,0.00455009,-0.246688,0.0299217,0.000704823,-0.00382258,0.0554077,-0.24548,0.0554077,-0.0892154,-0.000814598,-0.00128923,0.036882,0.000722232,-0.0141935,0.0111753,0.00273643,-0.000610538,-0.0020021,-0.0162243,-0.000436992,0.000626343,0.000739881,-0.0402809,-0.021799,0.0103399,-0.000671683,-0.0123141,-0.00226808,0.00566745,0.00478746,0.00568041,0.00478746,0.00566745,-0.00239584,0.00307933,0.00255067,0.0052482,0.00155354,0.0148574,-0.000685708,-0.0061497,-0.000712344,0.00127205,-0.00357873,-0.0197683,-0.0172039,-0.00186784,0.00770722,-0.000712344,0.00119528,0.00148895,-0.00100699,-0.00100699,0.019259,-0.000712344,-0.0158043,-0.0158043,0.00448796,0.000722846,-0.000588796,-0.000725637,0.0124631,-0.00601704,-0.00213068,-0.000103659,0.00526831,0.00381957,-0.0333113,0.00063876,0.000768513,0.000895757,0.000240136,0.00064329,-0.00959703,0.00028562,-0.00061437,-0.00261201,-0.0310703,-0.000683588,0.0221857,0.00295819,0.00295819,-0.00645671,-0.00782667,-0.0360168,0.00221017,5.87348e-06,-0.00114553,-0.023912,-0.000712344,0.00107083,0.00983716,0.000494908,-0.0219076,0.00222344,-0.00711215,-0.00193861,5.87348e-06,5.87348e-06,0.00122732,-0.00193861,-0.00193268,-0.00281887,0.0241135,-0.0445954,-0.0143528,-0.00845568,-0.000683588,-0.00251925,-0.0225734,0.000622661,-0.0134902,
